brandName,os,osVersion,screenSizeInInches,displayType,resolutionInPixels,pixelDensity,rearCamera,frontCamera,batteryCapacity,fastCharging,cpuSpeed,processorCores,ramCapacity,gpuType,weight,internalStorage,externalStorage,yearOfRelease,price
Redmi,Android,9,6.2,IPS,720 X 1520,271,12 + 2,8,5000,Yes,2 GHz,octa,2 GB,Adreno 505,190,16GB,NA,2019,5000
Redmi,Android,9,6.2,IPS,720 X 1520,271,12 + 2,8,5000,Yes,2 GHz,octa,3 GB,Adreno 505,190,32GB,NA,2019,7999
Redmi,Android,9,6.2,IPS,720 X 1520,271,12 + 2,8,5000,Yes,2 GHz,octa,4GB,Adreno 505,190,64GB,NA,2019,8999
Realme,Android,9.0,6.22,IPS LCD,720 x 1520,270,13 + 2,13,4230,Yes,2.1 GHz,Octa,4GB,Mali-G72 MP3,175,64 GB,256 GB,2019,8600
Realme,Android,9.0,6.22,IPS LCD,720 x 1520,270,13 + 2,13,4230,Yes,2.1 GHz,Octa,3GB,Mali-G72 MP3,175,32GB,256 GB,2019,10990
Xiaomi,Android,9,6.53,IPS,1080 X 2340,395,64 + 8 + 2 + 2,20,4500,NA,2.05 GHz,octa,6 GB,Mali-G76 MC4,200,64GB,256 GB,2019,15999
Redmi,Android,9,6.53,IPS,1080 X 2340,NA,64 + 8 + 2 + 2,20,4500,NA,NA,octa,6 GB,NA,200,128GB,256 GB,2019,16999
Samsung,Android,8.1,6.2,IPS LCD,720 x 1520,270,13 + 5,5,3400,NA,1.6 GHz,Octa,3 GB,Mali-T830 MP1,163,32 GB,512 GB,2019,8690
Samsung,Android,8.1,6.2,IPS LCD,720 x 1520,270,13 + 5,5,3400,NA,1.8 GHz,Octa,2GB,Mali-T830 MP1,163,16GB,512 GB,2019,7990
Samsung,Android,9.0,6.4,Super AMOLED,1080 x 2340,403,25 + 8 + 5,25,4000,Yes,2.3 GHz,Octa,6GB,Mali-G72 MP3,NA,128GB,512 GB,2019,22999
Samsung,Android,9.0,6.4,Super AMOLED,1080 x 2340,403,25 + 8 + 5,25,4000,Yes,2.3 GHz,Octa,4GB,Mali-G72 MP3,NA,64 GB,512 GB,2019,15499
Samsung,Android,8.1,6.4,Super AMOLED,1080 X 2280,394,13 + 5 + 5,16,5000,Yes,1.8 GHz,Octa,4GB,Mali-G71 MP2,174,64 GB,512GB,2019,12999
Samsung,Android,8.1,6.4,Super AMOLED,1080 X 2280,394,13 + 5 + 5,16,5000,Yes,1.8 GHz,Octa,6GB,Mali-G71 MP2,174,128GB,512GB,2019,15900
Realme,Android,10,6.6,NA,1080 x 2400,399,64 + 12 + 8 + 2,16 + 8,4300,NA,"2x2.3 GHz, 6x1.8 GHz",Octa-core,8 GB,Adreno 618,195,128 GB,NA,2020,19999
Realme,Android,10,6.4,NA,1080 x 2340,399,64 + 12 + 8 + 2,16 + 8,4300,NA,"2x2.3 GHz,6x1.8 GHz",Octa-core,8 GB,Adreno 618,195,64 GB,NA,2020,17999
Oppo,Android,9,6.5,IPS,720 X 1600,270,48 + 8 + 2 + 2,16,5000,NA,2.0 GHz,Octa,8 GB,Adreno 610,195,128GB,256 GB,2019,18990
Redmi,Android,9,5.45,HD Plus,720 X 1440,295,12,5,4000,Yes,2 GHz,octa,2GB,Adreno 505,165,16GB,256GB,2019,5999
Redmi,Android,9,5.45,HD Plus,720 X 1440,295,12,5,4000,NA,2 GHz,octa,2GB,Adreno 505,165,32GB,256GB,2019,6999
Vivo,Android,9,6.53,IPS,1080 x 2340,NA,16 + 8 + 2,32,5000,NA,1.7GHz,Octa,4GB,NA,201,64 GB,NA,2019,13300
Vivo,Android,9,6.53,IPS,1080 x 2340,NA,16 + 8 + 2,32,5000,NA,NA,Octa,6GB,NA,201,128GB,NA,2019,17990
OnePlus,Android,10,6.4,NA,1080 x 2400,403,48 + 16,12,4000,Yes,2.4 GHz,Octa-core,8 GB,NA,NA,128 GB,NA,2020,34990
Realme C2,Android,9.0,6.1,HD Plus,720 x 1520,NA,13 + 2,5,4000,NA,2 GHz,Octa,3GB,NA,166,32 GB,256 GB,2019,7499
Realme C2,Android,9.0,6.1,HD+,720 x 1560,NA,13 + 2,8,4000,NA,2 GHz,OCTA,2GB,NA,166,16GB,256 GB,2019,8990
Redmi,Android,10,6.53,NA,1080 x 2340,395,13 + 8 + 5 + 2,8,5020,Yes,"2x2.0 GHz, 6x1.8 GHz",Octa-core,4 GB,Mali-G52 MC2,198,128GB,NA,2020,11999
Redmi,Android,10,6.53,NA,1080 x 2340,395,13 + 8 + 5 + 2,8,5020,Yes,"2x2.0 GHz, 6x1.8 GHz",Octa-core,4 GB,Mali-G52 MC2,198,64 GB,NA,2020,9999
Realme,Android,10,6.6,NA,1080 x 2400,399,64 + 12 + 8 + 2,16 + 8,4200,Yes,"1x2.96 GHz, 3x2.42 GHz, 4x1.78 GHz",Octa-core,6 GB,Adreno 640,202,128 GB,NA,2020,25999
Vivo,Android,8.1,6.22,HD Plus,720 x 1520,NA,13 + 2,8,4030,NA,1.95 GHz,Octa,2GB,Adreno 505,163.5,32 GB,256 GB,2019,8990
Apple,iOS,13,6.1,IPS,828 x 1792,326,12 + 12 MP,12,3110,Yes,"2x2.65 GHz, 4x1.8 GHz",Hexa-core,4 GB,4-core graphics,194,64GB,NA,2019,61990
Apple,iOS,13,6.1,IPS,828 x 1792,326,12 + 12 MP,12,3110,Yes,NA,NA,4 GB,NA,194,128GB,NA,2019,67990
Apple,iOS,13,6.1,IPS,828 x 1792,326,12 + 12 MP,12,3110,Yes,NA,NA,4 GB,NA,194,256GB,NA,2019,84100
Vivo,Android,9.0,6.38,IPS LCD,1080 x 2340,404,16 + 8 + 2,32,4500,Yes,2 GHz,Octa,6GB,Mali-G52 MC2,179,128GB,256 GB,2019,16990
Vivo,Android,9.0,6.38,IPS LCD,1080 x 2340,404,16 + 8 + 2,32,4500,Yes,2 GHz,Octa,4 GB,Mali-G52 MC2,179,64GB,256 GB,2019,16990
POCO,Android,10,6.67,NA,1080x2400,395,64 + 2 + 8 + 2,20 + 2,4500,USB,"2x2.2 GHz, 6x1.8 GHz",Octa-core,8 GB,Adreno 618,208,256 GB,NA,2020,21499
POCO,Android,10,6.67,NA,1080x2400,395,64 + 2 + 8 + 2,20 + 2,4500,USB,"2x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,208,64 GB,NA,2020,20936
POCO,Android,10,6.67,NA,1080x2400,395,64 + 2 + 8 + 2,20 + 2,4500,USB,"2x2.2 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,208,128 GB,NA,2020,18499
Redmi,Android,9,6.2,IPS,720 X 1520,271,12 + 2,8,5000,Yes,2 GHz,octa,4GB,Adreno 505,190,64GB,NA,2019,8999
Redmi,Android,9,6.2,IPS,720 X 1520,271,12 + 2,8,5000,Yes,2 GHz,octa,2 GB,Adreno 505,190,16GB,NA,2019,5000
Redmi,Android,9,6.2,IPS,720 X 1520,271,12 + 2,8,5000,Yes,2 GHz,octa,3 GB,Adreno 505,190,32GB,NA,2019,7999
Oppo,Android,9,6.53,IPS,1080 X 2340,NA,48 + 8 + 2 + 2,16,4000,Yes,NA,Octa,8 GB,NA,NA,128GB,NA,2019,21990
Redmi,Android,9,6.39,IPS,1080 X 2340,403,48 + 16 + 8,20,4000,Yes,2.2 GHz,Octa,6GB,Adreno 618,191,64GB,NA,2019,19784
Redmi,Android,9,6.39,IPS,1080 X 2340,403,48 + 16 + 8,20,4000,Yes,2.2 GHz,Octa,6GB,Adreno 618,191,128GB,NA,2019,19984
Redmi,Android,9,6.39,IPS,1080 X 2340,403,48 + 16 + 8,20,4000,Yes,2.2 GHz,Octa,6GB,Adreno 618,191,128GB,NA,2019,19984
Xiaomi,Android,10,6.67,NA,1080 x 2340,386,108 + 13 + 2 + 2,20,4780,Yes,"1x2.84 GHz, 3x2.42 GHz, 4x1.80 GHz",Octa-core,8 GB,Adreno 650,208,128 GB,NA,2020,49999
Vivo,Android,9,6.53,NA,1080x2340,394,16 + 8 + 2,16,5000,Yes,NA,Octa-core,4GB,NA,193,128,NA,2019,14990
iQOO,Android,10,6.44,Super AMOLED,1080 x 2400,409,48 + 8 + 13 + 2,16,4370,Yes,"1x2.84 GHz, 3x2.42 GHz, 4x1.8 GHz",Octa,6 GB,Adreno 650,214.5,128 GB,NA,2020,36990
Realme,Android,9,6.4,Super AMOLED,1080 x 2340,403,64 + 8 + 2 + 2,32,4000,Yes,2.2 GHz,Octa,8 GB,Adreno 618,183,128GB,256 GB,2019,19999
